timesteps,episode,reward,length,move_diversity,oscillation_count
6505,1,-6106.798,0,0,0
7984,2,-1284.1993,0,0,0
11692,3,-3238.704,0,0,0
15626,4,-3413.8008,0,0,0
20292,5,-4253.7036,0,0,0
25308,6,-4423.411,0,0,0
27260,7,-1751.8016,0,0,0
33839,8,-5986.397,0,0,0
35392,9,-1245.0996,0,0,0
38926,10,-3346.608,0,0,0
41299,11,-2100.2031,0,0,0
43998,12,-2347.204,0,0,0
47339,13,-3099.5056,0,0,0
49040,14,-1586.5017,0,0,0
50759,15,-1470.8005,0,0,0
54154,16,-2992.0002,0,0,0
56825,17,-2333.2007,0,0,0
57546,18,-721.0994,0,0,0
59561,19,-2011.9014,0,0,0
60496,20,-829.4997,0,0,0
63465,21,-2973.1135,0,0,0
63669,22,-182.00008,0,0,0
63833,23,-119.80005,0,0,0
65600,24,-1714.8018,0,0,0
69429,25,-3454.6006,0,0,0
70470,26,-963.29987,0,0,0
72891,27,-2127.4956,0,0,0
74724,28,-1554.7998,0,0,0
75955,29,-1146.4004,0,0,0
78541,30,-2761.1045,0,0,0
79389,31,-796.5998,0,0,0
81584,32,-2130.903,0,0,0
82643,33,-927.29865,0,0,0
84003,34,-1306.8999,0,0,0
86247,35,-2283.801,0,0,0
87464,36,-990.8991,0,0,0
94728,37,-7061.192,0,0,0
97756,38,-2813.4011,0,0,0
101001,39,-3369.4094,0,0,0
104812,40,-3578.9033,0,0,0
107117,41,-2038.3994,0,0,0
108589,42,-1422.3988,0,0,0
109132,43,-491.70065,0,0,0
110746,44,-1475.2021,0,0,0
113195,45,-2290.2083,0,0,0
115965,46,-2556.3018,0,0,0
117231,47,-1174.0006,0,0,0
119367,48,-1772.8044,0,0,0
122515,49,-3053.902,0,0,0
124294,50,-1546.702,0,0,0
124341,51,-149.50002,0,0,0
125845,52,-1369.6001,0,0,0
125943,53,-197.70003,0,0,0
126782,54,-842.79895,0,0,0
126875,55,-161.4,0,0,0
128525,56,-1687.1011,0,0,0
131718,57,-3268.5017,0,0,0
132084,58,-365.20016,0,0,0
134736,59,-2613.903,0,0,0
136657,60,-1897.1024,0,0,0
